experiment_version,input_order,input_key,input_label,state_order,state_key,model_id,model_revision,category,status,error,case_count,hit_case_count,successful_repetitions,ranking_stable,recall_at_5,mrr_at_5,ndcg_at_5,delta_recall_at_5,delta_mrr_at_5,delta_ndcg_at_5,recall_ci_lower,recall_ci_upper,mrr_ci_lower,mrr_ci_upper,ndcg_ci_lower,ndcg_ci_upper,category_guardrail_pass,all_category_guardrails_pass,eligible,clear_gain,production_safety,cold_load_ms,rerank_p50_ms,rerank_p95_ms,rss_before_load_mb,rss_after_load_mb,observed_peak_rss_mb,device,dtype
phase8-08c-v1,1,dense__e5-small-384,Dense E5-Small (384d),1,no-rerank,,,overall,completed,,45,41,,,0.8185185185185185,0.7748148148148148,0.7425376173235151,,,,,,,,,,,,,,,,,,,,,,
phase8-08c-v1,1,dense__e5-small-384,Dense E5-Small (384d),1,no-rerank,,,comparative,completed,,6,5,,,0.5833333333333334,0.6666666666666666,0.5440113537620985,,,,,,,,,,,,,,,,,,,,,,
phase8-08c-v1,1,dense__e5-small-384,Dense E5-Small (384d),1,no-rerank,,,direct_fact,completed,,7,6,,,0.8571428571428571,0.7857142857142857,0.7929500775313779,,,,,,,,,,,,,,,,,,,,,,
phase8-08c-v1,1,dense__e5-small-384,Dense E5-Small (384d),1,no-rerank,,,food_knowledge,completed,,7,6,,,0.8571428571428571,0.7142857142857143,0.7545500976255128,,,,,,,,,,,,,,,,,,,,,,
phase8-08c-v1,1,dense__e5-small-384,Dense E5-Small (384d),1,no-rerank,,,guide_planning,completed,,2,1,,,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,
phase8-08c-v1,1,dense__e5-small-384,Dense E5-Small (384d),1,no-rerank,,,holistic,completed,,3,3,,,1.0,0.5555555555555555,0.6399069297160626,,,,,,,,,,,,,,,,,,,,,,
phase8-08c-v1,1,dense__e5-small-384,Dense E5-Small (384d),1,no-rerank,,,numerical,completed,,2,2,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
phase8-08c-v1,1,dense__e5-small-384,Dense E5-Small (384d),1,no-rerank,,,relationship,completed,,14,14,,,1.0,0.8928571428571429,0.8994045423959142,,,,,,,,,,,,,,,,,,,,,,
phase8-08c-v1,1,dense__e5-small-384,Dense E5-Small (384d),1,no-rerank,,,spanning,completed,,3,3,,,0.27777777777777773,0.7333333333333334,0.3976972851436366,,,,,,,,,,,,,,,,,,,,,,
phase8-08c-v1,1,dense__e5-small-384,Dense E5-Small (384d),1,no-rerank,,,temporal,completed,,1,1,,,0.5,1.0,0.6131471927654584,,,,,,,,,,,,,,,,,,,,,,
phase8-08c-v1,1,dense__e5-small-384,Dense E5-Small (384d),2,minilm,cross-encoder/ms-marco-MiniLM-L-6-v2,not_reported,overall,completed,,45,39,3,True,0.7851851851851852,0.6944444444444444,0.6722704086834084,-0.033333333333333326,-0.08037037037037043,-0.07026720864010672,-0.0925925925925926,0.014814814814814814,-0.17299074074074075,0.011481481481481485,-0.13486897466183348,-0.008292007194038714,,False,False,False,,11163.306627,246.125045,538.7932430999999,931.2890625,956.875,1118.96484375,cpu,float32
