category,question,keywords,mrr,ndcg,keywords_found,total_keywords,keyword_coverage,error
direct_fact,Quán bún bò Mệ Kéo nằm ở đâu?,Mệ Kéo | Bạch Đằng,1.0,0.9074372343202424,2,2,100.0,
direct_fact,Bún bò Hạnh nằm ở đâu?,Bún bò Hạnh | Đặng Văn Ngữ,0.75,0.7846416095752433,2,2,100.0,
direct_fact,Cơm hến Bà Cam ở đâu?,Cơm hến Bà Cam | Tùng Thiện Vương,1.0,0.9667361898509386,2,2,100.0,
temporal,Bún bò Mệ Kéo mở cửa lúc mấy giờ?,Mệ Kéo | 6:00 | 10:00,1.0,0.8829851448708123,3,3,100.0,
temporal,Bún bò Bà Nga phục vụ vào thời điểm nào trong ngày?,Bà Nga | 18:00 | 23:00,0.5,0.6765686326962403,3,3,100.0,
temporal,Bánh canh O Hoa hoạt động trong khung giờ nào?,O Hoa | 14:30 | 02:30,0.6666666666666666,0.7384285749422886,3,3,100.0,
comparative,"Quán nào mở cửa buổi tối, Mệ Kéo hay Bà Nga?",Mệ Kéo | Bà Nga,0.5833333333333334,0.7035041606628738,2,2,100.0,
comparative,"Cơm hến Hoa Đông và Cơm hến Bà Cam, quán nào mở cửa sớm hơn?",Hoa Đông | Bà Cam,0.75,0.8306366604245035,2,2,100.0,
comparative,Cách ép bánh của Bánh ép 1992 khác Bánh ép Gia Di thế nào?,Bánh ép 1992 | Bánh ép Gia Di,0.75,0.8196732460081595,2,2,100.0,
relationship,Món đặc trưng nhất của Chè Mợ Tôn Đích là gì?,Mợ Tôn Đích | heo quay,1.0,0.9273764689148143,2,2,100.0,
relationship,Quán bún bò nào nổi tiếng với văn hóa bún chờ?,bún chờ | Mệ Kéo,0.75,0.8321593606139204,2,2,100.0,
relationship,Tô bún đặc biệt của Mệ Kéo có đặc điểm gì?,Mệ Kéo | thịt bò,1.0,0.8959698953424009,2,2,100.0,
spanning,Nên ăn bún bò Huế ở những quán nào?,bún bò | Mệ Kéo | Bà Nga,1.0,0.9171191719852748,3,3,100.0,
spanning,Nên ăn cơm hến ở đâu tại Huế?,cơm hến | Bà Cam | Hoa Đông,0.75,0.7666742880512084,3,3,100.0,
holistic,Lần đầu đến Huế nên thử những món gì?,bún bò Huế | cơm hến | bánh canh Nam Phổ,1.0,0.9018830277485096,3,3,100.0,
holistic,Gợi ý ăn sáng ở Huế?,ăn sáng | bún bò | cơm hến,0.6666666666666666,0.7610096646597184,3,3,100.0,
food_knowledge,Bún bò Huế có nước dùng được nấu từ những gì?,bún bò Huế | mắm ruốc | sả,0.8333333333333334,0.8789561723639464,3,3,100.0,
food_knowledge,Bún bò Huế được ghi danh là gì?,Bún bò Huế | phi vật thể,0.75,0.7901396054259062,2,2,100.0,
guide_planning,Gợi ý food tour nửa ngày ở Huế?,food tour nửa ngày | bún bò | bánh ép,0.4166666666666667,0.505274645853209,2,3,66.66666666666666,
guide_planning,Gợi ý food tour 1 ngày ở Huế?,food tour 1 ngày | bánh canh cá lóc | bánh lọc,0.6666666666666666,0.5523061673058279,2,3,66.66666666666666,
